category,subcategory,dependency,location,purpose,risk,citations
Platform/Host,Host permission,https://claude.ai/*,manifest.json,Restrict content script injection to Claude.ai,Low,"manifest.json:L11-L35"
Platform/Host,Runtime host guard,window.location.hostname.includes('claude.ai'),src/content.js,Prevent initialization outside Claude.ai,Low,"src/content.js:L28-L33"
Platform/Host,Popup Claude tab detection,"url === https://claude.ai OR startsWith(https://claude.ai/)",popup/dataService.js,Find active Claude tab for popup-content messaging,Medium,"popup/dataService.js:L14-L17;L90-L109"
Routing/SPA,New chat route,/new (or endsWith('/new')),src/core/NavigationInterceptor.js;src/utils/VisibilityManager.js,Detect new-chat page and visibility behavior,Medium,"src/core/NavigationInterceptor.js:L282-L284;src/utils/VisibilityManager.js:L120-L123"
Routing/SPA,Conversation route,/chat/{id} regex,src/core/NavigationInterceptor.js;src/utils/VisibilityManager.js,Detect conversation page,Medium,"src/core/NavigationInterceptor.js:L294-L296;src/utils/VisibilityManager.js:L125-L127"
Routing/SPA,Project chat route,/project/{id}/chat/{id} regex,src/core/NavigationInterceptor.js,Detect project chat page,Medium,"src/core/NavigationInterceptor.js:L286-L288"
Routing/SPA,Project route,/project/{id} regex (non-chat),src/core/NavigationInterceptor.js,Detect project page,Medium,"src/core/NavigationInterceptor.js:L290-L292"
Routing/SPA,Settings route,path.startsWith('/settings'),src/core/NavigationInterceptor.js,Detect settings page,Low-Medium,"src/core/NavigationInterceptor.js:L298-L300"
Routing/SPA,Internal link monitor,"href startsWith /chat/ /project/ or equals /new",src/core/NavigationInterceptor.js,Early nav detection/logging,Medium,"src/core/NavigationInterceptor.js:L219-L224"
DOM/Structure,Main content selector,"main OR [role='main']",src/utils/DOMUtils-Core.js;src/utils/DOMReadyChecker.js,Locate primary app container,Medium,"src/utils/DOMUtils-Core.js:L68-L73;src/utils/DOMReadyChecker.js:L32-L33"
DOM/Structure,Primary message selector,[data-test-render-count],src/utils/DOMUtils-Core.js;src/utils/DOMReadyChecker.js,Message discovery and readiness checks,High,"src/utils/DOMUtils-Core.js:L78-L80;src/utils/DOMReadyChecker.js:L28-L31"
